lhs_model,lhs_null,lhs_saturated
9986.768473314121,9990.005956763052,9996.839397251606
9988.639808802385,9990.005956763052,9996.839397251606
9988.560200037202,9990.005956763052,9996.839397251606
9986.881657263453,9986.012209655484,9995.575156152248
9987.20145093945,9984.016233063769,9994.94303560257
9984.77565068678,9980.024882324506,9993.678794503212
9988.196102500508,9986.012209655484,9995.575156152248
9986.052103955182,9984.016233063769,9994.94303560257
9989.72586048115,9992.004323332454,9997.471517801285
9987.264486731088,9988.008585617179,9996.207276701927
9991.424541279674,9994.002493826643,9998.103638350964
9987.245990330819,9988.008585617179,9996.207276701927
9985.936861883383,9984.016233063769,9994.94303560257
9987.241096406011,9988.008585617179,9996.207276701927
9987.36715934187,9986.012209655484,9995.575156152248
9984.477030202808,9982.020655792614,9994.31091505289
9984.74585129111,9984.016233063769,9994.94303560257
9984.151546015935,9984.016233063769,9994.94303560257
9986.85902104224,9986.012209655484,9995.575156152248
9987.264748611615,9984.016233063769,9994.94303560257
9988.846016679425,9990.005956763052,9996.839397251606
9984.75535784128,9984.016233063769,9994.94303560257
9985.320257528409,9986.012209655484,9995.575156152248
9988.539532971336,9990.005956763052,9996.839397251606
9983.962095566494,9980.024882324506,9993.678794503212
9988.267132401743,9986.012209655484,9995.575156152248
9989.288176168899,9990.005956763052,9996.839397251606
9987.522767117713,9990.005956763052,9996.839397251606
9986.002496983856,9984.016233063769,9994.94303560257
9986.483117776457,9984.016233063769,9994.94303560257
9984.610814586282,9984.016233063769,9994.94303560257
9987.345139043464,9986.012209655484,9995.575156152248
9985.806542259816,9984.016233063769,9994.94303560257
9986.122845367885,9984.016233063769,9994.94303560257
9985.74105278319,9982.020655792614,9994.31091505289
9985.688749152294,9986.012209655484,9995.575156152248
9987.816105862381,9986.012209655484,9995.575156152248
9988.517819588655,9988.008585617179,9996.207276701927
9987.241189906155,9988.008585617179,9996.207276701927
9985.374192843039,9986.012209655484,9995.575156152248
9985.087299266132,9984.016233063769,9994.94303560257
9985.401743392938,9982.020655792614,9994.31091505289
9987.312187261647,9988.008585617179,9996.207276701927
9990.441064831102,9992.004323332454,9997.471517801285
9986.269372537237,9986.012209655484,9995.575156152248
9991.542094415869,9994.002493826643,9998.103638350964
9986.119579218368,9981.021885314009,9994.225130409002
9988.483408605003,9987.010111111436,9996.121492058039
9988.77193928363,9992.004323332454,9997.471517801285
9989.657288954942,9990.005956763052,9996.839397251606
9988.539204530534,9988.008585617179,9996.207276701927
9987.390095067909,9988.008585617179,9996.207276701927
9986.214624775457,9986.012209655484,9995.575156152248
