lhs_model,lhs_null,lhs_saturated
9983.89088076455,9982.020655792614,9994.31091505289
9984.399884342114,9982.020655792614,9994.31091505289
9987.814731414779,9990.005956763052,9996.839397251606
9986.588660996058,9984.016233063769,9994.94303560257
9985.445451369771,9986.012209655484,9995.575156152248
9988.865027557826,9992.004323332454,9997.471517801285
9989.839311660224,9990.005956763052,9996.839397251606
9985.330183726326,9988.008585617179,9996.207276701927
9983.886900185971,9982.020655792614,9994.31091505289
9985.467911619635,9984.016233063769,9994.94303560257
9984.663853339673,9988.008585617179,9996.207276701927
9987.382061613898,9986.012209655484,9995.575156152248
9982.509391466703,9982.020655792614,9994.31091505289
9983.316709423663,9980.024882324506,9993.678794503212
9986.174368747452,9988.008585617179,9996.207276701927
9985.507563217529,9984.016233063769,9994.94303560257
9988.573929464452,9990.005956763052,9996.839397251606
9986.938250994863,9990.005956763052,9996.839397251606
9984.232827837008,9986.012209655484,9995.575156152248
9986.133134700183,9984.016233063769,9994.94303560257
9983.080746734062,9982.020655792614,9994.31091505289
9980.75746186648,9978.030103561818,9993.046673953533
9985.854128903102,9986.012209655484,9995.575156152248
9987.241265630193,9986.012209655484,9995.575156152248
9985.105621794868,9980.024882324506,9993.678794503212
9989.379310031325,9990.005956763052,9996.839397251606
9987.520223056155,9988.008585617179,9996.207276701927
9985.89165409426,9986.012209655484,9995.575156152248
9986.380037137103,9986.012209655484,9995.575156152248
9985.185952462125,9982.020655792614,9994.31091505289
9986.427490741058,9990.005956763052,9996.839397251606
9986.58982412843,9988.008585617179,9996.207276701927
9982.82053136814,9982.020655792614,9994.31091505289
9986.833763116854,9988.008585617179,9996.207276701927
9983.674205344705,9984.016233063769,9994.94303560257
9985.17606834881,9982.020655792614,9994.31091505289
9984.198658911002,9982.020655792614,9994.31091505289
9985.217114442989,9986.012209655484,9995.575156152248
9987.624311556108,9994.002493826643,9998.103638350964
9988.056441446126,9992.004323332454,9997.471517801285
9985.822559466971,9984.016233063769,9994.94303560257
9988.315733444702,9990.005956763052,9996.839397251606
9986.221682023635,9988.008585617179,9996.207276701927
9985.018376969005,9985.013835001222,9995.48937150836
9983.512464858492,9982.020655792614,9994.31091505289
9984.037136827086,9980.024882324506,9993.678794503212
9984.10116877465,9986.012209655484,9995.575156152248
9986.781155911547,9986.012209655484,9995.575156152248
9990.874270743807,9994.002493826643,9998.103638350964
9984.698174748366,9986.012209655484,9995.575156152248
9989.180802374613,9992.004323332454,9997.471517801285
9983.305029655705,9980.024882324506,9993.678794503212
9984.904470372741,9986.012209655484,9995.575156152248
9987.09925898636,9986.012209655484,9995.575156152248
9987.320436965929,9990.005956763052,9996.839397251606
9984.941987610218,9988.008585617179,9996.207276701927
9987.529355722952,9990.005956763052,9996.839397251606
9989.66478311569,9990.005956763052,9996.839397251606
9983.099949294665,9982.020655792614,9994.31091505289
9985.108787278597,9982.020655792614,9994.31091505289
9983.240913611773,9984.016233063769,9994.94303560257
9988.435560503625,9988.008585617179,9996.207276701927
9985.561355342992,9984.016233063769,9994.94303560257
9985.084745194501,9986.012209655484,9995.575156152248
9984.731354856864,9990.005956763052,9996.839397251606
9982.762270139763,9986.012209655484,9995.575156152248
9985.100192404483,9980.024882324506,9993.678794503212
9984.21147259872,9984.016233063769,9994.94303560257
9983.412740846747,9984.016233063769,9994.94303560257
9985.321287468738,9986.012209655484,9995.575156152248
9985.502082842344,9988.008585617179,9996.207276701927
9985.608137604595,9988.008585617179,9996.207276701927
9980.833926217427,9982.020655792614,9994.31091505289
9988.309892923597,9990.005956763052,9996.839397251606
9984.639051417427,9984.016233063769,9994.94303560257
9982.704394475955,9982.020655792614,9994.31091505289
9983.913857633275,9982.020655792614,9994.31091505289
9985.32839037234,9986.012209655484,9995.575156152248
9986.418196008613,9990.005956763052,9996.839397251606
9985.648666691575,9984.016233063769,9994.94303560257
9985.490573592484,9986.012209655484,9995.575156152248
9989.861345555692,9992.004323332454,9997.471517801285
9987.74115437409,9990.005956763052,9996.839397251606
9986.753308963336,9984.016233063769,9994.94303560257
9985.275921880966,9988.008585617179,9996.207276701927
9987.381255698092,9988.008585617179,9996.207276701927
9983.984494836806,9982.020655792614,9994.31091505289
9985.084591446153,9986.012209655484,9995.575156152248
9987.216129716566,9984.016233063769,9994.94303560257
9984.034614501767,9984.016233063769,9994.94303560257
9992.367163559422,9998.000034077246,9999.367879450321
9987.733107795713,9984.016233063769,9994.94303560257
9987.021993793805,9986.012209655484,9995.575156152248
9987.724603027411,9988.008585617179,9996.207276701927
9982.709385057999,9984.016233063769,9994.94303560257
9984.484489099646,9982.020655792614,9994.31091505289
9985.279139509308,9988.008585617179,9996.207276701927
9983.73540843206,9984.016233063769,9994.94303560257
9985.192632791179,9982.020655792614,9994.31091505289
9986.91559123497,9988.008585617179,9996.207276701927
9984.561311888188,9984.016233063769,9994.94303560257
9988.810018099612,9988.008585617179,9996.207276701927
9987.681112157938,9990.005956763052,9996.839397251606
9984.493913526021,9984.016233063769,9994.94303560257
9982.41677006647,9982.020655792614,9994.31091505289
9988.65109541087,9988.008585617179,9996.207276701927
9989.927448635804,9992.004323332454,9997.471517801285
9986.60518696507,9986.012209655484,9995.575156152248
9988.073412617872,9994.002493826643,9998.103638350964
9984.681887860697,9984.016233063769,9994.94303560257
9977.366280620809,9978.030103561818,9993.046673953533
9985.407853549812,9986.012209655484,9995.575156152248
9985.441734149375,9986.012209655484,9995.575156152248
9984.134685574187,9984.016233063769,9994.94303560257
9986.809370435672,9986.012209655484,9995.575156152248
9985.830379395746,9984.016233063769,9994.94303560257
9985.468383086438,9986.012209655484,9995.575156152248
9983.689525543858,9984.016233063769,9994.94303560257
9987.829528450216,9988.008585617179,9996.207276701927
9985.354033962449,9984.016233063769,9994.94303560257
9984.324895916798,9986.012209655484,9995.575156152248
9983.69877785621,9986.012209655484,9995.575156152248
9984.900409154568,9984.016233063769,9994.94303560257
9984.743059430122,9984.016233063769,9994.94303560257
9986.083474667335,9988.008585617179,9996.207276701927
9985.809476194947,9988.008585617179,9996.207276701927
9987.677909301148,9988.008585617179,9996.207276701927
9981.191424320063,9986.012209655484,9995.575156152248
9986.970842118957,9988.008585617179,9996.207276701927
9986.641423954825,9986.012209655484,9995.575156152248
9985.499853082934,9986.012209655484,9995.575156152248
9986.832464327003,9988.008585617179,9996.207276701927
9986.936288346744,9986.012209655484,9995.575156152248
9983.763236884603,9982.020655792614,9994.31091505289
9987.520119427005,9994.002493826643,9998.103638350964
9986.664801484614,9988.008585617179,9996.207276701927
9986.76850190375,9984.016233063769,9994.94303560257
9982.107460434861,9982.020655792614,9994.31091505289
9985.953454940725,9986.012209655484,9995.575156152248
9987.339864885813,9984.016233063769,9994.94303560257
9986.724553010426,9990.005956763052,9996.839397251606
9988.84094715701,9988.008585617179,9996.207276701927
9987.407721314805,9990.005956763052,9996.839397251606
9987.607411762525,9990.005956763052,9996.839397251606
9987.999443132838,9988.008585617179,9996.207276701927
9984.892216861102,9984.016233063769,9994.94303560257
9984.820100958634,9984.016233063769,9994.94303560257
9988.424153435626,9988.008585617179,9996.207276701927
9991.06574891851,9994.002493826643,9998.103638350964
9984.932517689136,9986.012209655484,9995.575156152248
9987.485623184271,9990.005956763052,9996.839397251606
