lhs_model,lhs_null,lhs_saturated
9984.046963797009,9982.020655792614,9994.31091505289
9984.45627280566,9982.020655792614,9994.31091505289
9987.915448813786,9990.005956763052,9996.839397251606
9985.398715929652,9984.016233063769,9994.94303560257
9986.174310175353,9986.012209655484,9995.575156152248
9989.100748115976,9992.004323332454,9997.471517801285
9988.628231979586,9990.005956763052,9996.839397251606
9987.330994940887,9988.008585617179,9996.207276701927
9984.192228785658,9982.020655792614,9994.31091505289
9984.806516447934,9984.016233063769,9994.94303560257
9987.190951630939,9988.008585617179,9996.207276701927
9986.214273863065,9986.012209655484,9995.575156152248
9984.119027808774,9982.020655792614,9994.31091505289
9983.121096443792,9980.024882324506,9993.678794503212
9987.188349699485,9988.008585617179,9996.207276701927
9985.197865383467,9984.016233063769,9994.94303560257
9988.17700874072,9990.005956763052,9996.839397251606
9988.20211019559,9990.005956763052,9996.839397251606
9986.038285760733,9986.012209655484,9995.575156152248
9985.125808211596,9984.016233063769,9994.94303560257
9984.166358246992,9982.020655792614,9994.31091505289
9982.12745279289,9978.030103561818,9993.046673953533
9986.211184818647,9986.012209655484,9995.575156152248
9986.205232110427,9986.012209655484,9995.575156152248
9983.154920420317,9980.024882324506,9993.678794503212
9988.211241490964,9990.005956763052,9996.839397251606
9987.19484045892,9988.008585617179,9996.207276701927
9986.283446752117,9986.012209655484,9995.575156152248
9986.093216362584,9986.012209655484,9995.575156152248
9983.929648395744,9982.020655792614,9994.31091505289
9988.106970666617,9990.005956763052,9996.839397251606
9986.959188043082,9988.008585617179,9996.207276701927
9984.05423899123,9982.020655792614,9994.31091505289
9987.108845355833,9988.008585617179,9996.207276701927
9985.229954266746,9984.016233063769,9994.94303560257
9984.094304695376,9982.020655792614,9994.31091505289
9984.20623341814,9982.020655792614,9994.31091505289
9986.165077403653,9986.012209655484,9995.575156152248
9989.884414344444,9994.002493826643,9998.103638350964
9989.253374346765,9992.004323332454,9997.471517801285
9985.129096178338,9984.016233063769,9994.94303560257
9987.852322820807,9990.005956763052,9996.839397251606
9987.012551229855,9988.008585617179,9996.207276701927
9986.169234860441,9985.013835001222,9995.48937150836
9984.110484526725,9982.020655792614,9994.31091505289
9982.83265255575,9980.024882324506,9993.678794503212
9986.04486300773,9986.012209655484,9995.575156152248
9986.14461637073,9986.012209655484,9995.575156152248
9990.110585756775,9994.002493826643,9998.103638350964
9986.072760978015,9986.012209655484,9995.575156152248
9989.130748769618,9992.004323332454,9997.471517801285
9983.139641816204,9980.024882324506,9993.678794503212
9986.292895047984,9986.012209655484,9995.575156152248
9986.201352663047,9986.012209655484,9995.575156152248
9988.035396703053,9990.005956763052,9996.839397251606
9987.157147977501,9988.008585617179,9996.207276701927
9988.127559250395,9990.005956763052,9996.839397251606
9987.814737135079,9990.005956763052,9996.839397251606
9984.09175517151,9982.020655792614,9994.31091505289
9984.201818808448,9982.020655792614,9994.31091505289
9985.156816219853,9984.016233063769,9994.94303560257
9987.164927782549,9988.008585617179,9996.207276701927
9985.24904035934,9984.016233063769,9994.94303560257
9986.204991367878,9986.012209655484,9995.575156152248
9988.111472932447,9990.005956763052,9996.839397251606
9986.156155397417,9986.012209655484,9995.575156152248
9983.048562040589,9980.024882324506,9993.678794503212
9985.005370361672,9984.016233063769,9994.94303560257
9985.114196169568,9984.016233063769,9994.94303560257
9986.16292827978,9986.012209655484,9995.575156152248
9987.065274482826,9988.008585617179,9996.207276701927
9987.152310207952,9988.008585617179,9996.207276701927
9984.182396472723,9982.020655792614,9994.31091505289
9988.199036115839,9990.005956763052,9996.839397251606
9985.313636852254,9984.016233063769,9994.94303560257
9984.116409244714,9982.020655792614,9994.31091505289
9984.139208133682,9982.020655792614,9994.31091505289
9986.176397787814,9986.012209655484,9995.575156152248
9988.06255297322,9990.005956763052,9996.839397251606
9985.050683075911,9984.016233063769,9994.94303560257
9986.21391500259,9986.012209655484,9995.575156152248
9989.23521243647,9992.004323332454,9997.471517801285
9988.216257739608,9990.005956763052,9996.839397251606
9985.098937640316,9984.016233063769,9994.94303560257
9987.089563400485,9988.008585617179,9996.207276701927
9987.289876833209,9988.008585617179,9996.207276701927
9984.071197956335,9982.020655792614,9994.31091505289
9986.008957186597,9986.012209655484,9995.575156152248
9984.860249876045,9984.016233063769,9994.94303560257
9985.015543412883,9984.016233063769,9994.94303560257
9992.115499885462,9998.000034077246,9999.367879450321
9985.189829423267,9984.016233063769,9994.94303560257
9986.352943802252,9986.012209655484,9995.575156152248
9987.127506458724,9988.008585617179,9996.207276701927
9985.228389187425,9984.016233063769,9994.94303560257
9984.149572977098,9982.020655792614,9994.31091505289
9987.193820654124,9988.008585617179,9996.207276701927
9985.124832732137,9984.016233063769,9994.94303560257
9984.119260124047,9982.020655792614,9994.31091505289
9987.121920071077,9988.008585617179,9996.207276701927
9985.190335636871,9984.016233063769,9994.94303560257
9987.145688763412,9988.008585617179,9996.207276701927
9988.282233696897,9990.005956763052,9996.839397251606
9985.088449724077,9984.016233063769,9994.94303560257
9984.232240949,9982.020655792614,9994.31091505289
9987.04780154489,9988.008585617179,9996.207276701927
9989.151581774,9992.004323332454,9997.471517801285
9986.290247032593,9986.012209655484,9995.575156152248
9990.118251796463,9994.002493826643,9998.103638350964
9985.195770349354,9984.016233063769,9994.94303560257
9982.094394630287,9978.030103561818,9993.046673953533
9985.937716103457,9986.012209655484,9995.575156152248
9986.086396696686,9986.012209655484,9995.575156152248
9985.156887745601,9984.016233063769,9994.94303560257
9986.012726322922,9986.012209655484,9995.575156152248
9985.202080147865,9984.016233063769,9994.94303560257
9986.193676764029,9986.012209655484,9995.575156152248
9985.211722690146,9984.016233063769,9994.94303560257
9987.01021267206,9988.008585617179,9996.207276701927
9985.203775442787,9984.016233063769,9994.94303560257
9986.145008157764,9986.012209655484,9995.575156152248
9986.317806065665,9986.012209655484,9995.575156152248
9985.177464100067,9984.016233063769,9994.94303560257
9985.20418697517,9984.016233063769,9994.94303560257
9987.120019322145,9988.008585617179,9996.207276701927
9987.18622377576,9988.008585617179,9996.207276701927
9987.083633865142,9988.008585617179,9996.207276701927
9986.188878339832,9986.012209655484,9995.575156152248
9987.134926632338,9988.008585617179,9996.207276701927
9986.276444224524,9986.012209655484,9995.575156152248
9986.128564225975,9986.012209655484,9995.575156152248
9987.10634945298,9988.008585617179,9996.207276701927
9986.14152339776,9986.012209655484,9995.575156152248
9983.91442195847,9982.020655792614,9994.31091505289
9990.214372475864,9994.002493826643,9998.103638350964
9987.42201799166,9988.008585617179,9996.207276701927
9985.189165639458,9984.016233063769,9994.94303560257
9984.467683569179,9982.020655792614,9994.31091505289
9986.146990310517,9986.012209655484,9995.575156152248
9985.121532648394,9984.016233063769,9994.94303560257
9988.308844851912,9990.005956763052,9996.839397251606
9987.630671840423,9988.008585617179,9996.207276701927
