lhs_model,lhs_null,lhs_saturated
3683.404069185257,9982.020655792614,9994.31091505289
3682.9852833151817,9982.020655792614,9994.31091505289
3683.2770472466946,9990.005956763052,9996.839397251606
3683.390420347452,9984.016233063769,9994.94303560257
3683.1399933099747,9986.012209655484,9995.575156152248
3682.9226230084896,9992.004323332454,9997.471517801285
3683.383860141039,9990.005956763052,9996.839397251606
3683.337626338005,9988.008585617179,9996.207276701927
3683.415856540203,9982.020655792614,9994.31091505289
3683.2986388504505,9984.016233063769,9994.94303560257
3683.397970497608,9988.008585617179,9996.207276701927
3683.369144499302,9986.012209655484,9995.575156152248
3683.1566765606403,9982.020655792614,9994.31091505289
3683.1677920520306,9980.024882324506,9993.678794503212
3683.0365277826786,9988.008585617179,9996.207276701927
3683.071366429329,9984.016233063769,9994.94303560257
3683.399354249239,9990.005956763052,9996.839397251606
3683.259026169777,9990.005956763052,9996.839397251606
3683.2735561728477,9986.012209655484,9995.575156152248
3683.1397446393967,9984.016233063769,9994.94303560257
3683.4032910764217,9982.020655792614,9994.31091505289
3682.8370391726494,9978.030103561818,9993.046673953533
3682.979810267687,9986.012209655484,9995.575156152248
3683.2471056878567,9986.012209655484,9995.575156152248
3683.3465549349785,9980.024882324506,9993.678794503212
3683.2656030356884,9990.005956763052,9996.839397251606
3682.822114214301,9988.008585617179,9996.207276701927
3683.1892279088497,9986.012209655484,9995.575156152248
3683.1378598213196,9986.012209655484,9995.575156152248
3683.0563133358955,9982.020655792614,9994.31091505289
3683.3905470967293,9990.005956763052,9996.839397251606
3683.382834613323,9988.008585617179,9996.207276701927
3682.7605531811714,9982.020655792614,9994.31091505289
3683.179693311453,9988.008585617179,9996.207276701927
3683.194560199976,9984.016233063769,9994.94303560257
3682.8316410183907,9982.020655792614,9994.31091505289
3683.368059784174,9982.020655792614,9994.31091505289
3683.3941310346127,9986.012209655484,9995.575156152248
3683.374755561352,9994.002493826643,9998.103638350964
3683.0854857861996,9992.004323332454,9997.471517801285
3683.343858718872,9984.016233063769,9994.94303560257
3683.41455245018,9990.005956763052,9996.839397251606
3682.946224272251,9988.008585617179,9996.207276701927
3683.0850625932217,9985.013835001222,9995.48937150836
3683.2514334023,9982.020655792614,9994.31091505289
3683.2828683257103,9980.024882324506,9993.678794503212
3683.3602724671364,9986.012209655484,9995.575156152248
3683.241633683443,9986.012209655484,9995.575156152248
3683.104228377342,9994.002493826643,9998.103638350964
3682.9726845622063,9986.012209655484,9995.575156152248
3682.897722750902,9992.004323332454,9997.471517801285
3683.3598959445953,9980.024882324506,9993.678794503212
3683.3554826676846,9986.012209655484,9995.575156152248
3683.370175242424,9986.012209655484,9995.575156152248
3683.4187497496605,9990.005956763052,9996.839397251606
3683.3923368752003,9988.008585617179,9996.207276701927
3683.3050790429115,9990.005956763052,9996.839397251606
3683.3733455836773,9990.005956763052,9996.839397251606
3683.399903923273,9982.020655792614,9994.31091505289
3682.8332195281982,9982.020655792614,9994.31091505289
3683.325221836567,9984.016233063769,9994.94303560257
3683.3545350432396,9988.008585617179,9996.207276701927
3683.3670259416103,9984.016233063769,9994.94303560257
3683.396214723587,9986.012209655484,9995.575156152248
3683.0111505687237,9990.005956763052,9996.839397251606
