batch_size,learning_rate,mean_accuracy_per_image,mean_test_loss,mean_validation_loss,mean_train_loss,number_of_hits,number_of_test_images,number_of_fixations
32,1e-05,0.0,2444.0919680016063,2442.7092453430746,4533.242867629372,0,3412,22671
32,1e-05,0.0013867954372057535,1735.7850775317609,1879.6872647294372,1961.76463339932,32,3412,22735
32,1e-05,0.0017639867947605344,1743.1452499817465,1729.459088612494,1764.0528648693078,41,3412,22852
